Word,Description
Lahar,an avalanche of volcanic water and mud down the slopes of a volcano
Laird,a landowner
Laity,"in Christianity, members of a religious community that do not have the priestly responsibilities of ordained clergy"
Laius,(Greek mythology) king of Thebes who was unwittingly killed by his son Oedipus
Lally,support column consisting of a steel cylinder filled with concrete
Lamia,(folklore) a corpse that rises at night to drink the blood of the living
Lamna,a genus of Lamnidae
Lanai,a veranda or roofed patio often furnished and used as a living room
Lance,a surgical knife with a pointed double-edged blade; used for punctures and small incisions
Laney,"United States educator who founded the first private school for Black students in Augusta, Georgia (1854-1933)"
Lange,United States photographer remembered for her portraits of rural workers during the Depression (1895-1965)
Lanky,tall and thin
Lansa,East Indian tart yellow berrylike fruit
Lapel,lap at the front of a coat; continuation of the coat collar
Lapin,castrated male rabbit
Lapse,a failure to maintain a higher state
Larch,any of numerous conifers of the genus Larix all having deciduous needlelike leaves
Large,in an advanced stage of pregnancy
Largo,very slow in tempo and broad in manner
Larid,long-winged web-footed aquatic bird of the gull family
Larix,larches
Larus,type genus of the Laridae
Larva,the immature free-living form of most invertebrates and amphibians and fish which at hatching from the egg is fundamentally unlike its parent and must metamorphose
Lasek,a refractive surgery procedure that reshapes the cornea
Laser,an acronym for light amplification by stimulated emission of radiation; an optical device that produces an intense monochromatic beam of coherent light
Lasik,a refractive surgery procedure that reshapes the cornea
Lasix,commonly used diuretic (trade name Lasix) used to treat hypertension and edema
Lassa,the sacred city of Lamaism; known as the Forbidden City for its former inaccessibility and hostility to strangers
Lasso,a long noosed rope used to catch animals
Latch,catch for fastening a door or gate; a bar that can be lowered or slid into a groove
Later,coming at a subsequent time or stage
Lates,a genus of large percoid fishes of fresh and brackish water
Latex,a water-base paint that has a latex binder
Lathe,machine tool for shaping metal or wood; the workpiece turns about a horizontal axis against a fixed tool
Lathi,club consisting of a heavy stick (often bamboo) bound with iron; used by police in India
Latin,of or relating to the ancient Latins or the Latin language
Latke,made of grated potato and egg with a little flour
Latte,strong espresso coffee with a topping of frothed steamed milk
Laudo,"a mountain peak in the Andes in Argentina (20,997 feet high)"
Laugh,a humorous anecdote or remark intended to provoke laughter
Laver,seaweed with edible translucent crinkly green fronds
Laxly,in a permissively lenient manner
Layby,designated paved area beside a main road where cars can stop temporarily
Layer,thin structure composed of a single thickness of cells
Layia,genus of western United States annuals with showy yellow or white flowers
Layup,a basketball shot made with one hand from a position under or beside the basket (and usually banked off the backboard)
Lazar,a person afflicted with leprosy
Lazio,an ancient region of west central Italy (southeast of Rome) on the Tyrrhenian Sea
Leach,the process of leaching
Leafy,having or covered with leaves
Leaky,prone to communicate confidential information
Learn,gain knowledge or skills
Leary,United States psychologist who experimented with psychoactive drugs (including LSD) and became a well-known advocate of their use (1920-1996)
Lease,a contract granting use or occupation of property during a specified time for a specified payment
Leash,a figurative restraint
Least,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree
Leave,the act of departing politely
Ledge,a projecting ridge on a mountain or submerged under water
Ledum,evergreen shrubs of north temperate regions
Leech,carnivorous or bloodsucking aquatic or terrestrial worms typically having a sucker at each end
Leeds,a city on the River Aire in West Yorkshire in northern England; a center of the clothing industry
Leery,openly distrustful and unwilling to confide
Lefty,a baseball pitcher who throws the ball with the left hand
Legal,allowed by official rules
Leger,French painter who was an early cubist (1881-1955)
Leggy,having long legs
Lehar,Hungarian composer of light operas (1870-1948)
Leigh,English film actress (1913-1967)
Lemma,the heading that indicates the subject of an annotation or a literary composition or a dictionary entry
Lemna,minute aquatic herbs floating on or below the water surface of still water consisting of a leaflike frond or plant body and single root
Lemon,an artifact (especially an automobile) that is defective or unsatisfactory
Lemur,large-eyed arboreal prosimian having foxy faces and long furry tails
Lendl,United States tennis player (born in Czechoslovakia) who won several singles championships; in 1992 he became a United States citizen (born in 1960)
Lenin,Russian founder of the Bolsheviks and leader of the Russian Revolution and first head of the USSR (1870-1924)
Lense,a transparent optical device used to converge or diverge transmitted light and to form images
Lento,(of tempo) slow
Leone,the basic unit of money in Sierra Leone; equal to 100 cents
Lepas,type genus of the family Lepadidae
Leper,a pariah who is avoided by others
Leppy,motherless calf in a range herd of cattle
Lepus,type genus of the Leporidae: hares
Lerot,dormouse of southern Europe and northern Africa
Letch,man with strong sexual desires
Lethe,"(Greek mythology) a river in Hades; the souls of the dead had to drink from it, which made them forget all they had done and suffered when they were alive"
Letup,a pause during which things are calm or activities are diminished
Levee,an embankment that is built in order to prevent a river from overflowing
Level,of the score in a contest
Lever,a rigid bar pivoted about a fulcrum
Levis,a popular brand of jeans
Lewis,English critic and novelist; author of theological works and of books for children (1898-1963)
Lexis,all of the words in a language; all word forms having meaning or grammatical function
Leyte,a battle in World War II; the return of United States troops to the Philippines began with landings on Leyte Island in October 1944; the battle marked first use of kamikaze aircraft by the Japanese
Lhasa,a breed of terrier having a long heavy coat raised in Tibet as watchdogs
Liana,a woody climbing usually tropical plant
Libby,United States chemist who developed a method of radiocarbon dating (1908-1980)
Libel,the written statement of a plaintiff explaining the cause of action (the defamation) and any relief he seeks
Libra,the seventh sign of the zodiac; the sun is in this sign from about September 23 to October 22
Libya,a military dictatorship in northern Africa on the Mediterranean; consists almost entirely of desert; a major exporter of petroleum
Lichi,Chinese fruit having a thin brittle shell enclosing a sweet jellylike pulp and a single seed; often dried
Licit,"authorized, sanctioned by, or in accordance with law"
Lidar,a measuring system that detects and locates objects on the same principle as radar but uses light from a laser; a potential technology for detecting air turbulence that can affect aircraft
Liege,owing or owed feudal allegiance and service
Lifer,a prisoner serving a term of life imprisonment
Ligan,goods (or wreckage) on the sea bed that is attached to a buoy so that it can be recovered
Liger,offspring of a male lion and a female tiger
Light,characterized by or emitting light
Ligne,a linear unit (1/40 inch) used to measure diameter of buttons
Liked,found pleasant or attractive; often used as a combining form
Liken,"consider or describe as similar, equal, or analogous"
Lilac,of a pale purple color
Lille,an industrial city in northern France near the Belgian border; was the medieval capital of Flanders
Liman,a long narrow lagoon near the mouth of a river
Limax,a genus of Limacidae
Limbo,"(theology) in Roman Catholicism, the place of unbaptized but innocent or righteous souls (such as infants and virtuous individuals)"
Limen,the smallest detectable sensation
Limey,a man of English descent
Limit,the greatest possible degree of something
Limpa,a rye bread made with molasses or brown sugar
Linac,ions are accelerated along a linear path by voltage differences on electrodes along the path
Lindy,an energetic American dance that was popular in the 1930s (probably named for the aviator Charles Lindbergh)
Lined,bordered by a line of things
Linen,white goods or clothing made with linen cloth
Liner,(baseball) a hit that flies straight out from the batter
Lingo,a characteristic language of a particular group (as among thieves)
Linin,an obsolete term for the network of viscous material in the cell nucleus on which the chromatin granules were thought to be suspended
Links,a golf course that is built on sandy ground near a shore
Linum,a herbaceous plant genus of the family Linaceae with small sessile leaves
Linux,an open-source version of the UNIX operating system
Lipid,an oily organic compound insoluble in water but soluble in organic solvents; essential structural component of living cells (along with proteins and carbohydrates)
Lippi,Italian painter whose works show a three-dimensional style (1406-1469)
Lisle,a strong tightly twisted cotton thread (usually made of long-staple cotton)
Liszt,Hungarian composer and piano virtuoso (1811-1886)
Litas,the basic unit of money in Lithuania
Liter,"a metric unit of capacity, formerly defined as the volume of one kilogram of pure water under standard conditions; now equal to 1,000 cubic centimeters (or approximately 1.75 pints)"
Lithe,moving and bending with ease
Litre,"a metric unit of capacity, formerly defined as the volume of one kilogram of pure water under standard conditions; now equal to 1,000 cubic centimeters (or approximately 1.75 pints)"
Liven,make lively
Liver,having a reddish-brown color
Livid,furiously angry
Llama,wild or domesticated South American cud-chewing animal related to camels but smaller and lacking a hump
Llano,an extensive grassy and nearly treeless plain (especially in Latin America)
Lloyd,United States comic actor in silent films; he used physical danger as a source of comedy (1893-1971)
Loach,slender freshwater fishes of Eurasia and Africa resembling catfishes
Loads,a large number or amount
Loamy,consisting of or having the character of loam
Loasa,any of various perennial South American plants of the genus Loasa having stinging hairs and showy white or yellow or reddish-orange flowers
Loath,(usually followed by `to') strongly opposed
Lobar,of or relating to or affecting a lobe
Lobby,a large entrance or reception room or area
Lobed,having deeply indented margins but with lobes not entirely separate from each other
Local,relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area
Locke,English empiricist philosopher who believed that all knowledge is derived from sensory experience (1632-1704)
Locum,someone (physician or clergyman) who substitutes temporarily for another member of the same profession
Locus,the set of all points or lines that satisfy or are determined by specific conditions
Lodge,a hotel providing overnight lodging for travelers
Loess,a fine-grained unstratified accumulation of clay and silt deposited by the wind
Loewe,United States composer (born in Austria) who collaborated with Lerner on several musicals (1901-1987)
Loewi,United States pharmacologist (born in Germany) who was the first to show that acetylcholine is produced at the junction between a parasympathetic nerve and a muscle (1873-1961)
Lofty,of imposing height; especially standing out above others
Logan,"a mountain peak in the St. Elias Range in the southwestern Yukon Territory in Canada (19,850 feet high)"
Logic,reasoned and reasonable judgment
Logos,the divine word of God; the second person in the Trinity (incarnate in Jesus)
Lohan,a Buddhist who has attained nirvana
Loins,the lower part of the abdomen just above the external genital organs
Loire,the longest French river; rises in the Massif Central and flows north and west to the Atlantic Ocean
Lolly,ice cream or water ice on a small wooden stick
Lonas,one species: yellow ageratum
Loner,a person who avoids the company or assistance of others
Loofa,the dried fibrous part of the fruit of a plant of the genus Luffa; used as a washing sponge or strainer
Loony,informal or slang terms for mentally irregular
Loopy,informal or slang terms for mentally irregular
Loose,not affixed
Lopid,medication (trade name Lopid) used to lower the levels of triglyceride in the blood
Lorca,Spanish poet and dramatist who was shot dead by Franco's soldiers soon after the start of the Spanish Civil War (1898-1936)
Loren,Italian film actress (born in 1934)
Lorre,United States actor (born in Hungary) noted for playing sinister roles (1904-1964)
Lorry,a large truck designed to carry heavy loads; usually without sides
Loser,a gambler who loses a bet
Lossy,characterized by or causing dissipation of energy
Lotic,of or relating to or living in actively moving water
Lotte,fishes having large mouths with a wormlike filament attached for luring prey
Macao,a former Portuguese province on the south coast of China and two islands in the South China Sea; reverted to China in 1999
Macau,a former Portuguese province on the south coast of China and two islands in the South China Sea; reverted to China in 1999
Macaw,long-tailed brilliantly colored parrot of Central America and South America; among the largest and showiest of parrots
Macer,an official who carries a mace of office
Macho,used of men; markedly masculine in appearance or manner
Macon,fine Burgundy wine usually white and dry
Macro,very large in scale or scope or capability
Madam,a woman of refinement
Madia,genus of sticky herbs with yellow flowers open in morning or evening but closed in bright light
Madly,(used as intensives) extremely
Mafia,any tightly knit group of trusted associates
Magha,the eleventh month of the Hindu calendar; corresponds to January in the Gregorian calendar
Magic,possessing or using or characteristic of or appropriate to supernatural powers; ; ; ; - Shakespeare
Magma,molten rock in the earth's crust
Magus,a member of the Zoroastrian priesthood of the ancient Persians
Mahan,United States naval officer and historian (1840-1914)
Mahdi,(Islam) a messianic leader who (according to popular Muslim belief) will appear before the end of the world and restore justice and religion
Mahoe,erect forest tree of Cuba and Jamaica having variably hairy leaves and orange-yellow or orange-red flowers; yields a moderately dense timber for cabinetwork and gunstocks
Maidu,a Penutian language spoken by the Maidu
Maine,a state in New England
Maize,a strong yellow color
Major,greater in number or size or amount
Maker,a business engaged in manufacturing some product
Makin,battles in World War II in the Pacific (November 1943); United States Marines took the islands from the Japanese after bitter fighting
Malar,the arch of bone beneath the eye that forms the prominence of the cheek
Malay,of or relating to or characteristic of the people or language of Malaysia and the northern Malay Peninsula and parts of the western Malay Archipelago
Maleo,Celebes megapode that lays eggs in holes in sandy beaches
Malik,the leader of a town or community in some parts of Asia Minor and the Indian subcontinent
Malmo,a port in southern Sweden
Malta,a strategically located island to the south of Sicily in the Mediterranean Sea
Malti,"the national language of the Republic of Malta; a Semitic language derived from Arabic but with many loan words from Italian, Spanish, and Norman-French"
Malto,the Dravidian language spoken by the Malto
Malus,apple trees; found throughout temperate zones of the northern hemisphere
Malva,herbs and subshrubs: mallows
Mamba,arboreal snake of central and southern Africa whose bite is often fatal
Mambo,a Latin American dance similar in rhythm to the rumba
Mamet,United States playwright (born in 1947)
Mamey,globular or ovoid tropical fruit with thick russet leathery rind and juicy yellow or reddish flesh
Mamma,milk-secreting organ of female mammals
Mammy,informal terms for a mother
Manat,the basic unit of money in Azerbaijan
Manda,a Dravidian language spoken in south central India
Mande,a group of African languages in the Niger-Congo group spoken from Senegal east as far as the Ivory Coast
Manes,a Persian prophet who founded Manichaeism (216-276)
Manet,French painter whose work influenced the impressionists (1832-1883)
Mange,a persistent and contagious disease of the skin causing inflammation and itching and loss of hair; affects domestic animals (and sometimes people)
Mango,"large oval tropical fruit having smooth skin, juicy aromatic pulp, and a large hairy seed"
Mangy,having many worn or threadbare spots in the nap
Mania,an irrational but irresistible motive for a belief or action
Manic,affected with or marked by frenzy or mania uncontrolled by reason; ; ; - H.W.Carter
Manis,type genus of the Manidae
Manky,inferior and worthless
Manly,possessing qualities befitting a man
Manna,(Old Testament) food that God gave the Israelites during the Exodus
Manor,the mansion of a lord or wealthy person
Manse,the residence of a clergyman (especially a Presbyterian clergyman)
Mansi,the Ugric language (related to Hungarian) spoken by the Vogul
Manta,extremely large pelagic tropical ray that feeds on plankton and small fishes; usually harmless but its size make it dangerous if harpooned
Manul,small wildcat of the mountains of Siberia and Tibet and Mongolia
Manus,the (prehensile) extremity of the superior limb
Maori,the Oceanic language spoken by the Maori in New Zealand
Maple,any of numerous trees or shrubs of the genus Acer bearing winged seeds in pairs; north temperate zone
Marat,French revolutionary leader (born in Switzerland) who was a leader in overthrowing the Girondists and was stabbed to death in his bath by Charlotte Corday (1743-1793)
March,a steady advance
Marge,a spread made chiefly from vegetable oils and used as a substitute for butter
Maria,a dark region of considerable extent on the surface of the moon
Marks,English businessman who created a retail chain (1888-1964)
Marly,of or relating to or resembling or abounding in marl
Maroc,of or relating to or characteristic of Morocco or its people
Marri,very large red gum tree
Marry,take in marriage
Marsh,low-lying wet land with grassy vegetation; usually is a transition zone between land and water
Marti,Cuban poet and revolutionary who fought for Cuban independence from Spain (1853-1895)
Marum,Mediterranean germander having small hairy leaves and reddish purple flowers; attractive to cats
Marut,any of a group of Hindu storm gods; offspring of Rudra
Masai,a Nilotic language
Maser,an acronym for microwave amplification by stimulated emission of radiation; an amplifier that works on the same principle as a laser and emits coherent microwave radiation
Mashi,a Bantu language
Mason,a member of a widespread secret fraternal order pledged to mutual assistance and brotherly love
Masse,a shot in billiards made by hitting the cue ball with the cue held nearly vertically; the cue ball spins around another ball before hitting the object ball
Matai,conifer of Australia and New Zealand
Match,lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction
Mated,of or relating to a marriage partner
Mater,an informal use of the Latin word for mother; sometimes used by British schoolboys or used facetiously
Mates,a pair of people who live together
Matey,(used colloquially) having the relationship of friends or pals
Maths,a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement
Matte,not reflecting light; not glossy
Matzo,brittle flat bread eaten at Passover
Maund,a unit of weight used in Asia; has different values in different countries
Mauve,of a pale to moderate greyish violet color
Maven,someone who is dazzlingly skilled in any field
Mavik,an ACE inhibiting drug (trade name Mavik) used in some patients after a heart attack or to treat hypertension
Mavin,someone who is dazzlingly skilled in any field
Mavis,common Old World thrush noted for its song
Maxim,a saying that is widely accepted on its own merits
Mayan,a family of American Indian languages spoken by Maya
Mayas,an ethnic minority speaking Mayan languages and living in Yucatan and adjacent areas
Maybe,by chance
Mayer,United States filmmaker (born in Russia) who founded his own film company and later merged with Samuel Goldwyn (1885-1957)
Mayor,the head of a city government
Mazed,perplexed by many conflicting situations or statements; filled with bewilderment
Mazer,a large hardwood drinking bowl
Mbeya,a city in southwestern Tanzania
Mckim,United States neoclassical architect (1847-1909)
Meade,United States general in charge of the Union troops at the Battle of Gettysburg (1815-1872)
Mealy,composed of or covered with particles resembling meal in texture or consistency
Means,how a result is obtained or an end is achieved
Meany,a person of mean disposition
Meaty,being on topic and prompting thought
Mecca,a place that attracts many visitors
Medal,an award for winning a championship or commemorating some other event
Medan,a city in Indonesia; located in northeastern Sumatra
Medea,(Greek mythology) a princess of Colchis who aided Jason in taking the Golden Fleece from her father
Medic,a medical practitioner in the armed forces
Medoc,red Bordeaux wine from the Medoc district of southwestern France
Melba,Australian operatic soprano (1861-1931)
Melee,a noisy riotous fight
Meles,in some classifications: type genus of the subfamily Melinae
Melia,type genus of the Meliaceae: East Indian and Australian deciduous trees with leaves resembling those of the ash
Melon,any of numerous fruits of the gourd family having a hard rind and sweet juicy flesh
Memel,a city in western Lithuania on the Baltic Sea; formerly an important trading town of the Hanseatic League
Mensa,a faint constellation in the polar region of the southern hemisphere and containing part of the Large Magellanic Cloud
Mensh,a decent responsible person with admirable characteristics
Mercy,leniency and compassion shown toward offenders by a person or agency charged with administering justice
Merge,join or combine
Merit,"the quality of being deserving (e.g., deserving assistance)"
Merle,common black European thrush
Merry,quick and energetic
Mesic,having or characterized by moderate or a well-balanced supply of moisture
Meson,an elementary particle responsible for the forces in the atomic nucleus; a hadron with a baryon number of 0
Messy,dirty and disorderly
Mesua,genus of tropical Asiatic trees having large solitary flowers
Metal,containing or made of or resembling or characteristic of a metal; ; ; - Ambrose Bierce
Meter,any of various measuring instruments for measuring a quantity
Metic,an alien who paid a fee to reside in an ancient Greek city
Metis,a person in western Canada who is of Caucasian and American Indian ancestry
Metre,rhythm as given by division into parts of equal duration
Metro,an electric railway operating below the surface of the ground (usually in a city)
Meuse,an American operation in World War I (1918); American troops under Pershing drove back the German armies which were saved only by the armistice on November 11
Mezzo,the female singing voice between contralto and soprano
Mflop,(computer science) a unit for measuring the speed of a computer system
Miami,a city and resort in southeastern Florida on Biscayne Bay; the best known city in Florida; a haven for retirees and a refuge for Cubans fleeing Castro
Miaou,the sound made by a cat (or any sound resembling this)
Miaow,the sound made by a cat (or any sound resembling this)
Miasm,unhealthy vapors rising from the ground or other sources
Miaul,the sound made by a cat (or any sound resembling this)
Mibit,"a unit of information equal to 1024 kibibits or 2^20 (1,048,576) bits"
Micah,an Old Testament book telling the prophecies of Micah foretelling the destruction of Jerusalem
Micro,extremely small in scale or scope or capability
Midas,(Greek legend) the greedy king of Phrygia who Dionysus gave the power to turn everything he touched into gold
Middy,blouse with a sailor collar
Midge,minute two-winged mosquito-like fly lacking biting mouthparts; appear in dancing swarms especially near water
Midst,the location of something surrounded by other things
Might,physical strength
Milan,the capital of Lombardy in northern Italy; has been an international center of trade and industry since the Middle Ages
Milch,giving milk; bred or suitable primarily for milk production
Miler,a runner in a one-mile race
Milky,resembling milk in color not clear
Mills,United States architect who was the presidentially appointed architect of Washington D.C. (1781-1855)
Milne,English writer of stories for children (1882-1956)
Mimeo,a rotary duplicator that uses a stencil through which ink is pressed (trade mark Roneo)
Mimer,an actor who communicates entirely by gesture and facial expression
Mimic,constituting an imitation; - Archibald Alison
Mimir,(Norse mythology) giant who lives in the roots of Yggdrasil and guards the well of wisdom
Mimus,type genus of the family Mimidae: mockingbirds
Minah,tropical Asian starlings
Mince,food chopped into small bits
Mined,extracted from a source of supply as of minerals from the earth
Miner,laborer who works in a mine
Minge,vulgar term for a woman's pubic hair or genitals
Mingy,(used of persons or behavior) characterized by or indicative of lack of generosity
Minim,a musical note having the time value of half a whole note
Minor,limited in size or scope
Minos,son of Zeus and Europa; king of ancient Crete; ordered Daedalus to build the labyrinth; after death Minos became a judge in the underworld
Minsk,the capital of Belarus and of the Commonwealth of Independent States
Minty,relating to or suggestive of mint
Minus,involving disadvantage or harm
Mired,entangled or hindered as if e.g. in mire
Mirid,a variety of leaf bug
Mirky,dark or gloomy
Mirth,great merriment
Misdo,do wrongly or improperly
Miser,a stingy hoarder of money and possessions (often living miserably)
Missy,a young woman
Misty,filled or abounding with fog or mist
Miter,a liturgical headdress worn by bishops on formal occasions
Mitra,Hindu god of friendship and alliances; usually invoked together with Varuna as a supporter of heaven and earth
Mitre,a liturgical headdress worn by bishops on formal occasions
Miwok,a Penutian language spoken by the Miwok
Mixed,consisting of a haphazard assortment of different kinds; ; ; ; ; ; - I.A.Richards
Mixer,a kitchen utensil that is used for mixing foods
Nabob,a wealthy man (especially one who made his fortune in the Orient)
Nacho,a tortilla chip topped with cheese and chili-pepper and broiled
Nacre,the iridescent internal layer of a mollusk shell
Nadir,the point below the observer that is directly opposite the zenith on the imaginary sphere against which celestial bodies appear to be projected
Nafta,an agreement for free trade between the United States and Canada and Mexico; became effective in 1994 for ten years
Nafud,a desert in northern Saudi Arabia that is noted for its red sand and violent winds
Nahum,an Old Testament book telling Nahum's prophecy of the fall of Nineveh
Naiad,(Greek mythology) a nymph of lakes and springs and rivers and fountains
Naias,sole genus of the family Naiadaceae
Naiki,a Dravidian language spoken in south central India
Naira,the basic unit of money in Nigeria
Naive,not initiated; deficient in relevant experience
Najas,sole genus of the family Naiadaceae
Naked,completely unclothed
Namer,a person who gives a name or names
Names,verbal abuse; a crude substitute for argument
Nammu,goddess personifying the primeval sea; mother of the gods and of heaven and earth
Namoi,a river in southeastern Australia that flows generally northwest to join the Darling River
Nampa,a town in southwestern Idaho
Namur,a city in south central Belgium situated on a promontory between the Meuse River and the Sambre River; the site of intense fighting in World War I and World War II
Nanak,Indian religious leader who founded Sikhism in dissent from the caste system of Hinduism; he taught that all men had a right to search for knowledge of God and that spiritual liberation could be attained by meditating on the name of God (1469-1538)
Nance,offensive term for an openly homosexual man
Nancy,a city in northeastern France in Lorraine
Nandu,smaller of two tall fast-running flightless birds similar to ostriches but three-toed; found from Peru to Strait of Magellan
Nanna,god of the Moon; counterpart of the Akkadian Sin
Nanny,female goat
Nanus,a person who is markedly small
Naomi,the mother-in-law of Ruth whose story is told in the Book of Ruth in the Old Testament
Nappy,(of hair) in small tight curls
Naqua,diuretic drug (trade name Naqua) used to treat hypertension
Nardo,Australian clover fern
Naris,any of the openings to the nasal cavities that allow air to flow through the cavities to the pharynx
Nasal,sounding as if the nose were pinched
Nasty,disgustingly dirty; filled or smeared with offensive matter
Nasua,coatis
Natal,relating to or accompanying birth
Nates,the fleshy part of the human body that you sit on
Natta,Italian chemist noted for work on polymers (1903-1979)
Natty,marked by up-to-dateness in dress and manners
Nauch,an intricate traditional dance in India performed by professional dancing girls
Nauru,"a small island in the central Pacific Ocean 2,800 miles to the southwest of Hawaii; in Micronesia to the west of the Gilbert Islands"
Naval,connected with or belonging to or used in a navy
Navel,a scar where the umbilical cord was attached
Navvy,a laborer who is obliged to do menial work
Nawab,a governor in India during the Mogul empire
Needs,in such a manner as could not be otherwise
Needy,"demanding or needing attention, affection, or reassurance to an excessive degree"
Nefud,a desert in northern Saudi Arabia that is noted for its red sand and violent winds
Negev,a desert in southern Israel
Negro,relating to or characteristic of or being a member of the traditional racial division of mankind having brown to black pigmentation and tightly curled hair
Negus,wine and hot water with sugar and lemon juice and nutmeg
Nehru,Indian statesman and leader with Gandhi in the struggle for home rule; was the first prime minister of the Republic of India from 1947 to 1964 (1889-1964)
Neigh,the characteristic sounds made by a horse
Nemea,a valley in southeastern Greece where the Nemean Games were held
Nepal,a small landlocked Asian country high in the Himalayas between India and China
Nerva,Emperor of Rome who introduced a degree of freedom after the repressive reign of Domitian; adopted Trajan as his successor (30-98)
Nerve,impudent aggressiveness
Nervi,Italian architect who pioneered in the use of reinforced concrete (1891-1979)
Nervy,offensively bold
Never,not ever; at no time in the past or future
Nevis,one of the islands of Saint Christopher-Nevis
Nevus,a blemish on the skin that is formed before birth
Newel,the central pillar of a circular staircase
Newly,very recently
Newsy,prone to friendly informal communication
Nexus,a connected series or group
Nguni,a group of southern Bantu languages
Ngwee,100 ngwee equal 1 kwacha in Zambia
Nicad,a rechargeable battery with a nickel cathode and a cadmium anode; often used in emergency systems because of its low discharge rate when not in use
Niche,an enclosure that is set back or indented
Niddm,mild form of diabetes mellitus that develops gradually in adults; can be precipitated by obesity or severe stress or menopause or other factors; can usually be controlled by diet and hypoglycemic agents without injections of insulin
Nidus,a nest in which spiders or insects deposit their eggs
Niece,a daughter of your brother or sister
Niffy,(British informal) malodorous
Nifty,very good
Niger,a landlocked republic in West Africa; gained independence from France in 1960; most of the country is dominated by the Sahara Desert
Nigga,(ethnic slur) extremely offensive name for a Black person
Night,Roman goddess of night; daughter of Erebus; counterpart of Greek Nyx
Nigra,(ethnic slur) extremely offensive name for a Black person
Nihau,the most northwestern Hawaiian island (beyond Kauai)
Nihil,(Latin) nil; nothing (as used by a sheriff after an unsuccessful effort to serve a writ)
Nihon,a constitutional monarchy occupying the Japanese Archipelago; a world leader in electronics and automobile manufacture and ship building
Nimby,someone who objects to siting something in their own neighborhood but does not object to it being sited elsewhere; an acronym for not in my backyard
Niner,the cardinal number that is the sum of eight and one
Ninib,a solar deity; firstborn of Bel and consort was Gula; god of war and the chase and agriculture; sometimes identified with biblical Nimrod
Ninja,a class of 14th century Japanese who were trained in martial arts and were hired for espionage and assassinations
Ninny,a stupid foolish person
Ninon,a fine strong sheer silky fabric made of silk or rayon or nylon
Ninth,coming next after the eighth and just before the tenth in position
Nintu,a name under which Ninkhursag was worshipped
Niobe,(Greek mythology) the daughter of Tantalus whose boasting about her children provoked Apollo and Artemis to slay them all; Niobe was turned to stone while bewailing her loss
Nippy,pleasantly cold and invigorating
Niqab,a face veil covering the lower part of the face (up to the eyes) worn by observant Muslim women
Nisan,the seventh month of the civil year; the first month of the ecclesiastic year (in March and April)
Nisei,a person born in the United States of parents who emigrated from Japan
Nisus,an effortful attempt to attain a goal
Niter,(KNO3) used especially as a fertilizer and explosive
Nitid,bright with a steady but subdued shining
Nitre,(KNO3) used especially as a fertilizer and explosive
Nixon,vice president under Eisenhower and 37th President of the United States; resigned after the Watergate scandal in 1974 (1913-1994)
Njord,(Norse mythology) chief of the Vanir; god of the sea and winds and prosperity; father of Frey and Freya; sometimes subsumes Teutonic Nerthus
Nnrti,an antiviral drug used against HIV; binds directly to reverse transcriptase and prevents RNA conversion to DNA; often used in combination with other drugs
Nobel,Swedish chemist remembered for his invention of dynamite and for the bequest that created the Nobel prizes (1833-1896)
Noble,impressive in appearance
Nobly,in a noble manner
Noemi,the mother-in-law of Ruth whose story is told in the Book of Ruth in the Old Testament
Nohow,in no manner; in no way
Noise,the quality of lacking any predictable order or plan
Noisy,attracting attention by showiness or bright colors
Nomad,a member of a people who have no permanent home but move about according to the seasons
Nomia,a genus of bee; some are important pollinators of legumes
Nonce,the present occasion
Nones,the fifth of the seven canonical hours; about 3 p.m.
Nooky,slang for sexual intercourse
Noose,a loop formed in a cord or rope by means of a slipknot; it binds tighter as the cord or rope is pulled
Nopal,any of several cacti of the genus Nopalea resembling prickly pears
Noreg,a constitutional monarchy in northern Europe on the western side of the Scandinavian Peninsula; achieved independence from Sweden in 1905
Norge,a constitutional monarchy in northern Europe on the western side of the Scandinavian Peninsula; achieved independence from Sweden in 1905
Noria,a water wheel with buckets attached to the rim; used to raise water for transfer to an irrigation channel
Norma,a small constellation in the southern hemisphere near Lupus and Ara in the Milky Way
Norse,of or relating to Norway or its people or culture or language
North,situated in or facing or moving toward or coming from the north
Noruz,(Persian) the new year holiday in Iran and Azerbaijan and Afghanistan and Pakistan and parts of India and among the Kurds; comes at the vernal equinox
Nosed,having a nose (either literal or metaphoric) especially of a specified kind
Nosey,offensively curious or inquisitive
Notch,a small cut
Noted,worthy of notice or attention
Novel,pleasantly new or different
Noyes,English poet (1880-1958)
Nsaid,an anti-inflammatory drug that does not contain steroids
Nubby,of textiles; having a rough surface
Nubia,an ancient region of northeastern Africa (southern Egypt and northern Sudan) on the Nile; much of Nubia is now under Lake Nasser
Nucha,the back side of the neck
Nudge,a slight push or shake
Numen,a spirit believed to inhabit an object or preside over a place (especially in ancient Roman religion)
Nurse,a woman who is the custodian of children
Nusku,god of fire and light; corresponds to Babylonian Girru
Nutty,informal or slang terms for mentally irregular
Nyala,spiral-horned South African antelope with a fringe of white hairs along back and neck
Nylon,a synthetic fabric
